"country","region","country_no","excelsource","type_data","excelsheet","country_code","name_label","death_occurrence_date","death_publication_date","cum_death_total_occ_date"
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-29,2020-07-31,9761
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-28,2020-07-31,9758
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-27,2020-07-31,9753
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-26,2020-07-31,9746
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-25,2020-07-31,9744
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-24,2020-07-31,9739
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-23,2020-07-31,9736
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-22,2020-07-31,9732
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-21,2020-07-31,9720
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-20,2020-07-31,9711
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-19,2020-07-31,9708
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-18,2020-07-31,9704
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-17,2020-07-31,9699
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-06-16,2020-07-31,9692
